Collection,Dataset,Clustering Method,Label,Embedding,Original Dimensions,Embedding Dimensions,CF,NCA Score,R,AR,FM,MI,NMI,AMI,A
fcps,atom,genie,0,TFIDF,800 x 3,800 x 500,"cf: [[399   1]
 [233 167]] ",nca: 0.41500000000000004 ,r: 0.5855944931163954 ,ar: 0.17153692979550977 ,fm: 0.6517656284793203 ,mi: 0.16548278812607067 ,nmi: 0.27418152624513864 ,ami: 0.27342675443758135 ,a: 0.7075 
fcps,atom,kmeans,0,TFIDF,800 x 3,800 x 500,"cf: [[ 98 302]
 [220 180]] ",nca: 0.30500000000000016 ,r: 0.5459449311639549 ,ar: 0.09193626112609797 ,fm: 0.5548731916012978 ,mi: 0.049528009082692864 ,nmi: 0.0725614863095381 ,ami: 0.07170979466199179 ,a: 0.3475 
fcps,atom,agglomerative,0,TFIDF,800 x 3,800 x 500,"cf: [[393   7]
 [172 228]] ",nca: 0.5525 ,r: 0.6521933667083855 ,ar: 0.30453393690137737 ,fm: 0.6812323040347548 ,mi: 0.21974626555984084 ,nmi: 0.33842978558009484 ,ami: 0.3377908428147746 ,a: 0.77625 
fcps,atom,spectral,0,TFIDF,800 x 3,800 x 500,"cf: [[383  17]
 [173 227]] ",nca: 0.5249999999999999 ,r: 0.6373591989987485 ,ar: 0.2748554755415666 ,fm: 0.6642952354655984 ,mi: 0.18513331674328495 ,nmi: 0.2830376473068352 ,ami: 0.28235031981394226 ,a: 0.7625 
fcps,atom,gaussianmixture,0,TFIDF,800 x 3,800 x 500,"cf: [[ 64 336]
 [230 170]] ",nca: 0.41500000000000004 ,r: 0.5855944931163954 ,ar: 0.17126061807405482 ,fm: 0.59953080987319 ,mi: 0.09684947578057584 ,nmi: 0.14340009272035695 ,ami: 0.14260501233327746 ,a: 0.2925 
fcps,atom,hdbscan,0,TFIDF,800 x 3,800 x 500,"cf: [[  0 392   8]
 [  2 393   5]
 [  0   0   0]] ",nca: nan ,r: 0.49939612015018775 ,ar: -4.8565183962264855e-05 ,fm: 0.693477377946658 ,mi: 0.0021702811248198936 ,nmi: 0.0054691589363161704 ,ami: 0.0016470509019291806 ,a: 0.49125 
fcps,atom,kmodes,0,TFIDF,800 x 3,800 x 500,"cf: [[400   0]
 [399   1]] ",nca: 0.0024999999999999467 ,r: 0.4993773466833542 ,ar: 0.0 ,fm: 0.7057802648330319 ,mi: 0.0008672162036881485 ,nmi: 0.0024680570151263234 ,ami: 1.6610608852869483e-16 ,a: 0.50125 
fcps,atom,birch,0,TFIDF,800 x 3,800 x 500,"cf: [[335  65]
 [285 115]] ",nca: 0.125 ,r: 0.5071964956195244 ,ar: 0.014764923071141578 ,fm: 0.5765645625094052 ,mi: 0.011318683433007987 ,nmi: 0.01845972715964765 ,ami: 0.017455222010301502 ,a: 0.5625 
fcps,atom,minibatchkmeans,0,TFIDF,800 x 3,800 x 500,"cf: [[179 221]
 [196 204]] ",nca: 0.04249999999999998 ,r: 0.5002784730913642 ,ar: 0.0005602729466588999 ,fm: 0.5006309879727747 ,mi: 0.0009069451881184576 ,nmi: 0.0013102925764553125 ,ami: 0.0004059967294730808 ,a: 0.47875 
fcps,atom,kmedoids,0,TFIDF,800 x 3,800 x 500,"cf: [[364  36]
 [167 233]] ",nca: 0.49250000000000016 ,r: 0.6208041301627034 ,ar: 0.24170899147867508 ,fm: 0.6405338059219122 ,mi: 0.14751170751773918 ,nmi: 0.22154494963759663 ,ami: 0.22081194892492031 ,a: 0.74625 
